analystName,analystCompany,publisher,skill_score,accuracy,avg_error,breadth,total_predictions,diversity
Will Nance,Goldman Sachs,StreetInsider,1.3383956990095598,0.05819111734824173,17.184753370785987,23,23,17
Betsy Graseck,Morgan Stanley,StreetInsider,1.3369811738578532,0.04774932763778047,20.942703268742466,28,28,12
Shahriar Pourreza,Guggenheim,StreetInsider,1.335770994174753,0.09541221386962521,10.48083845288861,14,14,13
Ike Boruchow,Wells Fargo,StreetInsider,1.3355045784230708,0.044516819280769025,22.46341980753314,30,30,18
Chris Gamaitoni,Compass Point,StreetInsider,1.3333310727758234,1.3333310727758234,0.7500012715657551,1,1,1
Michael Freeman,Raymond James,TheFly,1.333324008583009,1.333324008583009,0.7500052452087402,1,1,1
Rupesh Parikh,Oppenheimer,StreetInsider,1.3240799313380112,0.04728856897635754,21.146759600612178,28,28,9
Mark Dwelle,RBC Capital,TheFly,1.3202471006081449,0.08801647337387633,11.361509518248937,15,15,10
David Koning,Robert W. Baird,StreetInsider,1.3068804914700334,0.048402981165556795,20.65988449305665,27,27,15
Toshiya Hari,Goldman Sachs,StreetInsider,1.3042473263591419,0.026084946527182837,38.33628713625734,50,50,23
Nicholas Yulico,Scotiabank,TheFly,1.3032324548255625,0.06859118183292434,14.579133545705895,19,19,14
Lloyd Byrne,UBS,StreetInsider,1.301677636477484,0.05916716529443109,16.901266015090325,22,22,18
Jim Duffy,Stifel Nicolaus,StreetInsider,1.3008241135249392,0.044856003914653074,22.293559673810595,29,29,14
David Motemaden,Evercore ISI,StreetInsider,1.3001725545001284,0.16252156931251605,6.15302943621643,8,8,6
Christopher Stathoulopoulos,Susquehanna,StreetInsider,1.2961736601570142,0.08101085375981339,12.344024949605759,16,16,9
James Faucette,Morgan Stanley,TheFly,1.2941669422381679,0.034977484925355885,28.589820055217288,37,37,18
Theresa Chen,Barclays,TheFly,1.291693210753503,0.07598195357373548,13.161019860190432,17,17,14
Thomas Wadewitz,UBS,TheFly,1.2862955756770265,0.05145182302708106,19.435657303603445,25,25,16
Jeoffrey Lambujon,Tudor Pickering,TipRanks Contributor,1.2857198910081742,1.2857198910081742,0.777774386935764,1,1,1
John Joyner,BMO Capital,TheFly,1.2857198910081742,1.2857198910081742,0.777774386935764,1,1,1
Dennis Geiger,UBS,Pulse 2.0,1.2856896668778635,0.04285632222926212,23.33378012817918,30,30,14
Bill Selesky,Argus Research,StreetInsider,1.2744243602334828,0.04901632154744165,20.40136771650899,26,26,20
Matthew Smith,Stifel Nicolaus,TheFly,1.2660796926815676,0.07447527604009221,13.427274837647744,17,17,12
Matthew Harrison,Morgan Stanley,StreetInsider,1.2603629686451705,0.03938634277016158,25.389511431297016,32,32,19
Pito Chickering,Deutsche Bank,TheFly,1.2503036450616802,0.06251518225308401,15.996114287112515,20,20,13
Mark Delaney,Goldman Sachs,Pulse 2.0,1.2476453640832659,0.03669545188480194,27.251333575051778,34,34,14
Daniel Perlin,RBC Capital,Benzinga,1.2468848319042125,0.04453160113943616,22.455963280296764,28,28,16
Brandon King,Truist Financial,TheFly,1.2452845052266959,0.09579111578666892,10.439381479040755,13,13,12
Michael Sison,Wells Fargo,TheFly,1.2437535553114438,0.04975014221245775,20.100445054599135,25,25,15
James Ricchiuti,Needham,StreetInsider,1.2416356032334188,0.04966542412933675,20.134731909181713,25,25,16
Jeffrey Spector,Bank of America Securities,StreetInsider,1.2361090153859196,1.2361090153859196,0.8089901356214888,1,1,1
Eric Sheridan,Goldman Sachs,TipRanks Contributor,1.235306784149917,0.01900471975615257,52.618508077513795,65,65,32
Scott Fidel,Stephens,StreetInsider,1.2323776628206893,0.08215851085471262,12.171593540301368,15,15,12
Gerard Cassidy,RBC Capital,StreetInsider,1.2313143658725731,0.07243025681603371,13.806384844663873,17,17,11
Zachary Warring,CFRA,StreetInsider,1.2229650819009914,0.048918603276039654,20.442120850367782,25,25,20
Mircea Dobre,Robert W. Baird,TheFly,1.2184585923190614,0.060922929615953074,16.414181102317563,20,20,12
Brandon Oglenski,Barclays,TheFly,1.2171447971037652,0.04868579188415061,20.539873365509422,25,25,18
Brett Rabatin,Hovde Group,TheFly,1.213645900873412,0.40454863362447063,2.4718906872597857,3,3,3
Phillip Jungwirth,BMO Capital,TipRanks Contributor,1.2129972428562656,0.050541551785677735,19.785700372646176,24,24,21
Justin Lake,Wolfe Research,StreetInsider,1.2116269558128199,0.10096891298440167,9.904038485137367,12,12,10
William Crow,Raymond James,Benzinga,1.210702299239442,0.3026755748098605,3.3038675176488743,4,4,3
Matthew Sheerin,Stifel Nicolaus,Benzinga,1.2099488603717257,0.06049744301858628,16.529624230445172,20,20,13
Cedar Ekblom,Morgan Stanley,TheFly,1.2054739086358077,1.2054739086358077,0.8295492692427202,1,1,1
Jason English,Goldman Sachs,Pulse 2.0,1.2052476107906185,0.07532797567441366,13.275280412714793,16,16,13
Kash Rangan,Goldman Sachs,Benzinga,1.1955366573070625,0.0314614909817648,31.784889043548628,38,38,22
Jasper Hellweg,Argus Research,StreetInsider,1.1884021307670247,0.08488586648335891,11.78052414881152,14,14,12
Brent Thielman,D.A. Davidson,TipRanks Contributor,1.186566228606654,0.0593283114303327,16.855359201892462,20,20,16
Garrett Nelson,CFRA,StreetInsider,1.1830192871057847,0.04550074181176095,21.97766366396958,26,26,19
Ivan Feinseth,Tigress Financial,Benzinga,1.178036175571196,0.0240415546034938,41.59464795403358,49,49,34
Jared Shaw,Barclays,TheFly,1.1732868730928767,0.10666244300844334,9.375371234660738,11,11,9
Vijay Kumar,Evercore ISI,TheFly,1.169491957623606,0.05315872534652755,18.81158725084672,22,22,15
Shyam Patil,Susquehanna,Pulse 2.0,1.1687913459583876,0.027828365379961608,35.934557648149564,42,42,23
Bascome Majors,Susquehanna,StreetInsider,1.1675600297657651,0.05076347955503327,19.699201251874165,23,23,12
Michael Roxland,Truist Financial,Benzinga,1.1664455040866344,0.06480252800481302,15.431496745400548,18,18,12
Mohit Bansal,Wells Fargo,TheStreet,1.1638297149934087,0.05819148574967044,17.184644576731113,20,20,13
Ken Gawrelski,Wells Fargo,Benzinga,1.1627857302628033,0.05537074906013349,18.060077152179836,21,21,12
Anthony Powell,Barclays,TheFly,1.1624146163583737,0.05812073081791869,17.20556479464809,20,20,16
Arun Sundaram,CFRA,StreetInsider,1.1619420476881561,0.07746280317921041,12.909421799344097,15,15,14
Ben Hendrix,RBC Capital,StreetInsider,1.1583206611989385,0.0681365094822905,14.676419552426765,17,17,10
Bill Chappell,Truist Financial,TheFly,1.1526054855822914,0.04802522856592881,20.822389187116617,24,24,18
J.B. Lowe,Citigroup,TheFly,1.147539835405358,1.147539835405358,0.871429443359375,1,1,1
Jonathan Chappell,Evercore ISI,StreetInsider,1.1462659051717634,0.04408715019891398,22.682346114188924,26,26,15
Peter Arment,Robert W. Baird,Benzinga,1.1445228238947776,0.06358460132748764,15.727078240997002,18,18,13
Ann Hynes,Mizuho Securities,TipRanks Contributor,1.1435425206818188,0.05197920548553722,19.23846258631717,22,22,13
Rick Wise,Stifel Nicolaus,StreetInsider,1.142654398169446,0.0672149645982027,14.877639317044878,17,17,11
Nathan Race,Piper Sandler,StreetInsider,1.14249481869438,0.09520790155786499,10.503329908938545,12,12,11
Alex Zukin,Wolfe Research,Benzinga,1.1414251885696014,0.0496271821117218,20.150247454082283,23,23,18
Adam Jonas,Morgan Stanley,Pulse 2.0,1.1390825562901035,0.023730886589377158,42.13917572079409,48,48,18
Brad Reback,Stifel Nicolaus,Benzinga,1.1371239610335049,0.04944017221884804,20.22646676013743,23,23,13
Gil Luria,D.A. Davidson,TheFly,1.1351364011082803,0.04204208892993631,23.78568775843924,27,27,24
Marie Ferguson,Argus Research,TheFly,1.134407002401471,0.28360175060036774,3.5260713231955036,4,4,3
Josh Beck,Raymond James,TheFly,1.132981985204305,0.03540568703763453,28.244050141917835,32,32,18
Matthew Thornton,Truist Financial,TheFly,1.1321842664380446,0.03652207311090466,27.380701992555363,31,31,10
Kate McShane,Goldman Sachs,StreetInsider,1.1291579402578469,0.0221403517697617,45.166400714814074,51,51,26
Rohit Kulkarni,MKM Partners,Benzinga,1.127778425700196,0.03132717849167211,31.92116392690251,36,36,14
Katja Jancic,Loop Capital Markets,Benzinga,1.1267058185318428,0.0866696783486033,11.538060588823164,13,13,8
David MacDonald,Truist Financial,Pulse 2.0,1.1202156164532382,0.056010780822661914,17.853705756506805,20,20,15
Alex Straton,Morgan Stanley,StreetInsider,1.1145244622854575,0.04845758531675902,20.63660402108709,23,23,12
Michael Lewis,Truist Financial,StreetInsider,1.1135471658424838,0.053026055516308755,18.858653359430797,21,21,13
Brad Zelnick,Deutsche Bank,StreetInsider,1.1117997498344172,0.038337922408083355,26.0838338957344,29,29,14
John Kim,BMO Capital,TipRanks Contributor,1.1092224230079035,0.0792301730719931,12.621454191338724,14,14,11
Keith Horowitz,Citigroup,Benzinga,1.10127422470739,0.05005791930488136,19.976859084162648,22,22,14
Akash Tewari,Jefferies,StreetInsider,1.1010694259734628,0.06117052366519238,16.3477429991175,18,18,12
Myles Walton,UBS,StreetInsider,1.096925537408855,0.060940307633825276,16.4095003590849,18,18,14
David Begleiter,Deutsche Bank,StreetInsider,1.0892711650511022,0.051870055478623917,19.278946027194984,21,21,16
Blayne Curtis,Jefferies,StreetInsider,1.0865534365516119,0.02650130333052712,37.73399321263154,41,41,21
Josh Silverstein,Wolfe Research,StreetInsider,1.0839369264806826,0.04712769245568185,21.218946820712354,23,23,19
Ashish Sabadra,RBC Capital,Benzinga,1.0817383187547354,0.038633511384097693,25.884263795178075,28,28,15
Mark Lipacis,Evercore ISI,StreetInsider,1.0804102831439237,0.03177677303364482,31.469526466429222,34,34,19
Patrick Scholes,Truist Financial,Benzinga,1.0784152787251695,0.041477510720198826,24.109450703197997,26,26,18
Justin Long,Stephens,TheFly,1.0755041122380604,0.08962534268650503,11.157558454173374,12,12,9
Tim Nollen,Macquarie,TheFly,1.0735726581351492,0.04879875718796133,20.492325166156082,22,22,10
Michael Zaremski,BMO Capital,StreetInsider,1.0707063793251705,0.06298272819559826,15.877368742973696,17,17,11
Chris Carey,Wells Fargo,TheFly,1.069670637869865,0.05629845462472974,17.76247690395286,19,19,14
Piper Sandler's,Piper Sandler,Benzinga,1.0677963340122198,1.0677963340122198,0.9365081787109375,1,1,1
Greg Melich,Evercore ISI,StreetInsider,1.0674366475280082,0.053371832376400405,18.736474943329345,20,20,10
Elvira Scotto,RBC Capital,StreetInsider,1.0636719610152552,0.11818577344613947,8.461255283451926,9,9,8
Bryan Spillane,Bank of America Securities,TheFly,1.061869967610859,0.08848916396757157,11.300818712294172,12,12,11
Jason Goldberg,Barclays,Pulse 2.0,1.0599550650835292,0.036550174658052735,27.35965038075899,29,29,21
John Pancari,Evercore ISI,TheFly,1.0568936202485806,0.07549240144632718,13.246366267881541,14,14,12
Christopher Rolland,Susquehanna,Benzinga,1.0531250584133935,0.02771381732666825,36.08308405200201,38,38,18
Matt O'Brien,Piper Sandler,TheFly,1.0437902683452722,0.03865889882760267,25.867265502296057,27,27,20
William Stein,Truist Financial,StreetInsider,1.0433314281856583,0.024263521585712985,41.21413276582353,43,43,14
Susan Maklari,Goldman Sachs,StreetInsider,1.0418843399247937,0.05483601789077861,18.236189250499223,19,19,15
Anthony Chukumba,Loop Capital Markets,TheFly,1.0381683173976188,0.03348930056121351,29.860283232017558,31,31,16
Andrew Marok,Raymond James,Pulse 2.0,1.0376722898088444,0.06917815265392296,14.45543082080686,15,15,8
Charles Minervino,Susquehanna,StreetInsider,1.036930655113641,0.04937765024350671,20.252077510138356,21,21,11
Jay McCanless,Wedbush,TheFly,1.0346640741265676,0.03979477208179106,25.128928944351742,26,26,17
Michael Ng,Goldman Sachs,Benzinga,1.0226143776787686,0.03652194205995602,27.3808002421765,28,28,19
David Roman,Goldman Sachs,StreetInsider,1.0220908858431716,0.12776136073039646,7.827092591086377,8,8,8
Andrew Bauch,Wells Fargo,StreetInsider,1.0182131637745224,0.04628241653520556,21.60647768336236,22,22,13
Vikram Malhotra,Mizuho Securities,StreetInsider,1.0176973203107567,0.12721216503884458,7.86088342804831,8,8,6
Mark Lear,Piper Sandler,TheFly,1.013027308883268,0.050651365444163404,19.742804389002522,20,20,13
Catherine Seifert,CFRA,StreetInsider,1.0125923019250498,0.07232802156607498,13.825900091660241,14,14,13
Anne Meisner,Susquehanna,StreetInsider,1.0119091734786558,1.0119091734786558,0.9882309857536764,1,1,1
Michael Carroll,RBC Capital,Benzinga,1.0098441048926905,0.0776803157609762,12.873274139062707,13,13,10
Colin Sebastian,Robert W. Baird,Benzinga,1.0062014882480939,0.02795004134022483,35.77812239443207,36,36,14
Dara Mohsenian,Morgan Stanley,Benzinga,1.0044059357398625,0.045654815260902835,21.903494610268734,22,22,12
Thomas Hallett,KBW,TheFly,0.9999991196860214,0.9999991196860214,1.0000008803147535,1,1,1
Conagra Brands,RBC Capital,Benzinga,0.9999971891783368,0.9999971891783368,1.000002810829564,1,1,1
Mehdi Hosseini,Susquehanna,TheFly,0.9967667499450562,0.031148960935783006,32.103799611858946,32,32,15
Eric Luebchow,Wells Fargo,StreetInsider,0.9964132889865897,0.07664717607589151,13.046795083616114,13,13,10
Timothy Daley,Wells Fargo,Pulse 2.0,0.996187964184996,0.498093982092498,2.007653246078159,2,2,2
Joseph O'Dea,Wells Fargo,TheFly,0.995897535999622,0.0766075027692017,13.053551726033122,13,13,12
Jim Kelleher,Argus Research,TheFly,0.9899152798793636,0.028283293710838958,35.35656102233849,35,35,28
Ken Wong,Oppenheimer,StreetInsider,0.9850723983618781,0.07577479987399062,13.196999552132711,13,13,8
Shelby Tucker,RBC Capital,TheFly,0.9823674380510745,0.051703549371109186,19.341031943907087,19,19,15
Iain Simpson,Barclays,TheFly,0.981017658729109,0.981017658729109,1.0193496427938742,1,1,1
Omar Nokta,Jefferies,Benzinga,0.9810009452999356,0.04905004726499678,20.38734019148688,20,20,15
Matthew Sharpe,Morgan Stanley,Benzinga,0.9793525144958818,0.4896762572479409,2.042165584298819,2,2,2
Gabriella Carbone,Deutsche Bank,TheFly,0.9768016531742041,0.03368281562669669,29.688729442422538,29,29,16
Stephen Grambling,Goldman Sachs,Benzinga,0.9716294716265501,0.046268070077454766,21.613177258657135,21,21,13
Joel Fishbein,Truist Financial,Benzinga,0.9695020178822714,0.04039591741176131,24.754976841022284,24,24,13
Christian Wetherbee,Citigroup,StreetInsider,0.9674357549174231,0.05091767131144332,19.639547022553216,19,19,11
Timothy Arcuri,UBS,TheFly,0.9646122333136808,0.027560349523248023,36.28401008327084,35,35,14
Tommy Moll,Stephens,Pulse 2.0,0.9628863678762167,0.09628863678762167,10.385441453550149,10,10,9
Sophie Karp,KeyBanc,StreetInsider,0.9624760918412827,0.05065663641269909,19.740750093492398,19,19,14
Kevin Cassidy,Rosenblatt Securities,StreetInsider,0.9609293015253015,0.034318903625903625,29.13845998405404,28,28,11
