symbol,environmentalScore,socialScore,governanceScore,ESGScore,cumulative_return
AEMD,54.98,52.14,52.07,53.06,-0.7487919463087248
AENT,61.44,65.45,63.23,63.37,1.8740157480314958
AENTW,61.44,65.45,63.23,63.37,1.7055555555555557
AEO,47.04,64.76,64.84,58.88,0.19881556683587132
AEP,52.06,70.32,74.05,65.48,0.35044342918570276
AER,51.93,51.96,60.36,54.75,0.6800894854586129
AERT,71.93,65.4,71.23,69.52,-0.8174157303370787
AERTW,68.19,68.37,63.56,66.71,-0.6681818181818183
AES,53.08,58.87,65.51,59.16,0.24638728323699424
AESI,72.73,73.42,72.54,72.9,-0.018990504747626313
AEVA,56.98,73.6,63.04,64.54,0.280952380952381
AEYE,50.0,74.44,72.0,65.48,4.098452138492871
AFBI,75.63,74.05,79.19,76.29,0.43686698176907496
AFCG,63.51,75.23,76.57,71.77,0.34844559585492235
AFG,42.75,56.94,49.71,49.8,0.25183318056828596
AFGB,53.82,47.47,58.36,53.22,0.16728971962616832
AFGC,53.82,47.47,58.36,53.22,0.26056338028169007
AFGD,53.82,47.47,58.36,53.22,0.21168958742632624
AFGE,53.82,47.47,58.36,53.22,0.24276236429433068
AFL,61.15,67.59,59.99,62.91,0.43368950345694535
AFMD,58.09,66.39,61.19,61.89,-0.055401662049861425
AFRI,56.71,69.2,63.74,63.22,-0.051394275161588135
AFRIW,56.71,69.2,63.74,63.22,-0.07936507936507943
AFRM,55.63,63.46,61.08,60.06,1.4067796610169494
AFYA,51.53,71.55,74.65,65.91,0.08010335917312651
AG,69.04,67.97,62.97,66.66,0.22447183098591555
AGAE,59.13,71.04,62.25,64.14,0.38850574712643676
AGBA,69.53,68.18,72.63,70.11,4.668245677962671
AGBAW,69.53,68.18,72.63,70.11,16.707964601769913
AGCO,69.5,64.08,39.13,57.57,-0.12478418508287291
AGEN,45.44,72.45,68.74,62.21,-0.7632398753894082
AGFY,69.03,67.73,68.35,68.37,-0.9058666666666666
AGI,69.66,66.6,71.74,69.33,0.6574803149606301
AGIO,60.94,63.74,58.34,61.01,1.1008403361344536
AGL,65.89,67.87,75.35,69.7,-0.8348486403283736
AGM,75.54,75.58,75.98,75.7,0.31649455763326834
AGMH,61.23,61.33,62.23,61.6,0.10967741935483866
AGNC,48.27,51.75,56.62,52.22,0.27663438256658596
AGNCL,65.24,74.51,72.08,70.61,0.19092627599243853
AGNCM,65.24,74.51,72.08,70.61,0.10454344949272154
AGNCN,65.24,74.51,72.08,70.61,0.030024115755627006
AGNCO,65.24,74.51,72.08,70.61,0.12891674127126226
AGNCP,65.24,74.51,72.08,70.61,0.16647170708511638
AGQ,41.6,77.19,83.12,67.3,0.6700952380952382
AGR,73.5,55.48,63.29,64.09,0.15961601041327686
AGO,66.07,63.87,74.7,68.21,0.41305057096247977
AGRI,74.04,72.14,73.37,73.18,-0.9763749999999999
AGRO,78.17,63.52,85.06,75.58,0.0475530932594645
AGS,69.88,58.2,66.31,64.8,0.6458923512747875
AGX,69.56,67.63,65.51,67.57,1.8765294771968855
AGYS,50.0,70.69,65.83,62.17,0.8729778310365488
AHCO,47.75,67.73,61.74,59.07,0.4155844155844156
AHG,63.5,61.39,64.11,63.0,-0.238
AHH,60.4,74.76,66.55,67.24,0.08900778210116742
AHT,58.57,69.19,68.12,65.29,-0.7286486486486486
AIG,48.38,60.34,54.66,54.46,0.2812653261402648
AIHS,66.44,67.17,67.29,66.97,1.0410958904109588
AIM,51.17,63.11,70.57,61.62,-0.45953389830508473
AIMAU,75.85,73.06,72.03,73.65,0.05963302752293581
AIMAW,75.85,73.06,72.03,73.65,-0.5135135135135135
AI,77.6,57.54,54.29,63.14,0.02765358699960369
AIMD,75.82,71.84,71.47,73.04,-0.8250793650793651
AIMDW,75.82,71.84,71.47,73.04,-0.8989795918367347
AIN,61.56,61.96,78.32,67.28,-0.1203211713307356
AIP,57.01,53.64,58.43,56.36,0.20504201680672265
AIR,39.27,92.51,67.36,66.38,0.06305612594113624
AIRG,61.72,56.04,59.43,59.06,1.8307692307692305
AIRI,67.32,71.29,64.07,67.56,1.1927272727272729
AIRS,53.84,56.81,65.2,58.62,-0.14822695035460992
AIRT,60.61,66.85,68.89,65.45,-0.2697782703194935
AIRTP,60.61,66.85,68.89,65.45,-0.13708086785009868
AISP,58.17,66.11,74.18,66.15,-0.8126734505087881
AISPW,58.17,66.11,74.18,66.15,2.2951289398280803
AIT,61.0,66.31,65.24,64.18,0.49398053278688536
AIV,43.07,55.99,57.48,52.18,0.38880126182965297
AIZ,50.44,62.0,54.08,55.51,0.3277654793050246
AIZN,74.81,64.32,65.93,68.35,0.28692220969560317
AJX,82.74,76.35,68.4,75.83,-0.48897637795275584
AJG,47.38,61.92,55.84,55.05,0.2486690040254513
AKA,60.8,69.89,77.08,69.26,2.715743440233236
AIXI,64.24,63.04,60.19,62.49,-0.6534391534391534
AKAM,59.62,51.15,65.69,58.82,-0.010842134778951273
AKAN,66.48,65.86,62.15,64.83,-0.9439738219895288
AKBA,58.01,62.02,57.52,59.18,0.5581924967038235
AKRO,58.48,60.92,58.12,59.17,1.5542168674698797
AKTS,61.66,61.31,61.8,61.59,-0.9045850592772462
AKTX,48.1,55.38,59.93,54.47,-0.3310704225352113
AKYA,50.0,34.1,50.0,44.7,-0.19712793733681458
