symbol,environmentalScore,socialScore,governanceScore,ESGScore,cumulative_return
ATLO,68.12,70.95,68.64,69.24,0.1582278481012658
ATLX,42.5,62.74,72.59,59.28,-0.7199261992619926
ATMC,65.63,77.34,73.13,72.03,0.055399061032863836
ATMCU,65.63,77.34,73.13,72.03,0.0810055865921787
ATMU,50.0,79.44,91.07,73.5,0.9534146341463415
ATMV,81.55,59.37,69.89,70.27,0.050751879699248034
ATNF,62.35,71.16,65.16,66.22,-0.23049645390070933
ATNFW,62.35,71.16,65.16,66.22,0.5604395604395604
ATNI,97.53,75.62,65.2,79.45,-0.02786601212821263
ATNM,59.54,58.66,57.4,58.53,-0.7022569444444444
ATO,51.3,64.36,70.78,62.15,0.2965485921889192
ATOM,50.0,68.86,64.41,61.09,-0.470499243570348
ATOS,50.37,53.69,55.03,53.03,1.1968181818181816
ATR,66.29,59.79,58.77,61.62,0.3406506004931202
ATRA,57.54,64.23,60.73,60.83,-0.7176173913043478
ATRC,50.0,51.29,48.41,49.9,-0.19011051289317085
BFRI,69.13,71.23,69.32,69.89,-0.8403930131004367
BFRIW,69.13,71.23,69.32,69.89,-0.5211970074812967
BG,62.96,52.99,66.33,60.76,-0.13574529667149066
BFST,58.24,72.76,71.44,67.48,0.4240301724137932
BGC,71.0,76.75,68.1,71.95,0.623924268502582
BGFV,48.32,64.85,56.63,56.6,-0.719240837696335
BGI,66.97,69.64,65.76,67.46,-0.41168831168831166
BGLC,52.89,69.47,71.09,64.48,-0.2897727272727273
BFLY,59.9,67.14,62.51,63.18,1.1534994365844498
BGNE,55.81,55.58,61.59,57.66,0.361946177601311
BFS,58.55,66.56,70.59,65.23,0.17420289855072457
BGS,60.8,74.02,64.8,66.54,0.014534883720930232
BGSF,67.06,68.64,58.6,64.77,-0.06083244397011724
BH,72.0,54.99,63.43,63.47,0.15670627727425326
BHAC,50.0,82.12,81.34,71.15,-0.04122722914669221
BHACW,50.0,82.12,81.34,71.15,0.1419999999999999
BHAT,60.16,59.99,62.99,61.05,-0.8066225165562914
BHB,80.6,72.33,72.79,75.24,0.3218342448464452
BHC,64.56,45.0,43.97,51.18,0.1042234332425069
BHE,63.62,67.5,61.42,64.18,0.9230769230769232
BHF,65.51,68.14,65.42,66.36,0.011659379554445185
BHFAM,65.51,68.14,65.42,66.36,0.38224719101123594
BHFAL,65.51,68.14,65.42,66.36,0.21237796036732712
BHFAN,65.51,68.14,65.42,66.36,0.4034053700065488
BHFAO,65.51,68.14,65.42,66.36,0.2045347189418988
BHIL,59.57,69.69,68.5,65.92,-0.3991596638655462
BHLB,68.47,71.19,70.15,69.94,0.40469061876247503
BHM,69.63,72.0,71.39,71.01,0.14415395787944818
BHFAP,65.51,68.14,65.42,66.36,0.24721139430284855
BHP,65.99,68.92,63.54,66.15,0.00937389458790239
BHR,56.05,68.8,69.5,64.78,0.15703971119133575
BHRB,64.56,72.04,66.21,67.6,0.4060579455662862
BHVN,64.38,71.13,66.24,67.25,0.9404231625835188
BIAF,59.73,68.54,68.0,65.42,0.6148148148148148
BIAFW,59.73,68.54,68.0,65.42,19.15655577299413
BIDU,40.66,65.17,71.38,59.07,-0.12516224735768589
BIGC,53.02,64.9,63.97,60.63,-0.40647857889237204
BIIB,69.62,63.65,74.08,69.12,-0.25740380878352126
BILI,63.78,65.89,63.98,64.55,0.5955940204563336
BILL,61.06,61.74,56.82,59.87,-0.4397560975609756
BIO,55.7,49.25,62.78,55.91,0.0825975505553972
BIOA,56.88,61.11,60.74,59.58,0.32359366466411804
BIOR,50.84,55.05,53.84,53.24,1.0212765957446808
BIOX,81.51,81.26,76.48,79.75,-0.2701149425287356
BIP,82.15,74.78,81.53,79.49,0.5340092944655682
BIPC,82.15,74.78,81.53,79.49,0.48333333333333345
BIRD,64.86,55.41,56.37,58.88,-0.4841328413284133
BITF,75.55,65.49,75.17,72.07,0.9671638802682951
BIVI,56.77,64.13,63.77,61.56,-0.965160530191458
BJ,67.52,75.32,77.34,73.39,0.2372832784066483
BJDX,49.13,67.17,62.75,59.68,-0.9972182254196643
BJRI,95.48,88.76,74.6,86.28,0.5010399334442597
BK,72.64,72.4,70.68,71.91,0.8160701588054043
BKD,62.32,66.72,70.63,66.56,0.7368421052631579
BKDT,62.32,66.72,70.63,66.56,0.6195113314447592
BKE,71.08,70.33,67.76,69.72,0.24858916478555312
BKH,76.52,78.15,80.27,78.31,0.2384185303514378
BKHA,79.3,79.48,73.02,77.27,0.012833168805528036
BKHAR,79.3,79.48,73.02,77.27,0.4320987654320986
BKKT,63.81,68.03,64.67,65.5,-0.5880897196261683
BKNG,46.4,53.25,59.05,52.9,0.5693917851500789
BKR,62.29,49.86,82.45,64.87,0.019252388982574545
BKTI,55.58,70.49,59.53,61.87,0.9732205778717408
BKU,36.07,74.78,73.63,61.49,0.6489314336598395
BKSY,55.72,62.14,66.94,61.6,-0.381198347107438
BL,86.89,58.08,81.63,75.53,0.08713997431663915
BKYI,67.73,75.62,68.17,70.51,-0.8533333333333333
BLAC,50.0,61.91,66.14,59.35,0.04889741131351868
BLBD,62.5,73.97,68.77,68.41,1.4864425162689803
BLBX,72.94,65.48,65.6,68.01,0.2672151898734176
BLCO,69.14,73.69,72.84,71.89,0.2410071942446043
BLD,56.79,80.28,81.66,72.91,0.8074599422117155
BLDE,68.64,74.35,74.15,72.38,0.6705069124423964
BLDEW,67.8,71.47,70.08,69.78,0.5291891891891891
BLDP,50.0,50.0,50.0,50.0,-0.5176991150442478
BLDR,86.05,81.87,79.32,82.41,0.7384639554717659
BLEU,69.5,74.41,78.41,74.11,0.04285714285714279
BLEUR,69.5,74.41,78.41,74.11,-0.558411214953271
BLEUW,69.5,74.41,78.41,74.11,-0.009900990099009842
BLFS,55.82,59.5,61.11,58.81,1.078194816800715
BLFY,77.78,65.39,74.42,72.53,0.3266078184110971
BLIN,50.0,65.54,73.72,63.09,0.517509727626459
BLK,65.68,61.22,69.43,65.44,0.6076528891102151
BLKB,86.4,70.34,71.82,76.19,0.2502538807485855
BLMN,93.1,75.37,82.68,83.72,-0.28559393428812124
BLND,55.96,62.05,59.9,59.3,1.853174603174603
BLNK,71.63,68.25,64.49,68.12,-0.27700348432055744
BLRX,57.79,67.23,68.58,64.53,-0.672027972027972
BLTE,60.32,66.01,64.42,63.58,0.7316846986089645
BLUE,54.31,62.35,60.14,58.93,-0.8251798561151078
BLW,63.94,71.59,63.17,66.23,0.14823717948717946
BLX,74.43,75.73,71.95,74.04,0.49820948970456574
BLZE,62.54,63.66,59.15,61.78,0.4663265306122447
BMA,66.0,67.2,64.06,65.75,2.7579957356076754
BMBL,51.39,74.89,74.57,66.95,-0.4748892171344165
BMEA,55.87,61.05,65.34,60.75,0.06563354603463982
BMI,77.97,70.59,88.81,79.12,0.4917525030612978
BMO,67.82,71.7,73.87,71.13,0.18368121442125232
BMR,66.03,68.34,67.43,67.27,1.2993197278911564
BMRA,54.58,58.86,63.86,59.1,-0.5591466530403679
BMRN,51.15,46.55,66.01,54.57,-0.1601888848528878
BMTX,49.87,62.54,73.5,61.97,0.1982142857142858
BMRC,41.81,76.4,59.95,59.39,0.27582292849035184
BMY,74.1,64.22,68.84,69.06,-0.06081798866855516
BN,83.07,86.44,83.34,84.28,0.7926946491509133
BNAI,61.59,68.81,63.6,64.67,-0.8810947930574099
BNED,65.99,66.45,65.04,65.83,-0.8911392405063291
BNGO,60.96,58.83,61.72,60.5,-0.8098255813953489
BNIXR,96.03,79.66,73.37,83.02,-0.5962962962962963
BNL,93.75,57.88,69.72,73.78,0.3153248587570621
BNOX,56.75,61.5,61.62,59.96,-0.9248138957816378
BNR,56.92,56.77,62.44,58.71,-0.7122641509433962
BNRG,66.3,66.07,69.54,67.3,-0.8931369863013698
BNS,60.41,72.29,70.66,67.79,0.26018845700824483
BNTC,62.03,60.78,59.85,60.89,2.182316715542522
BNTX,54.28,61.55,61.13,58.99,0.1798155298155299
BNZI,71.47,77.7,75.32,74.83,-0.9937358490566037
BNZIW,71.47,77.7,75.32,74.83,-0.7230769230769231
BOC,69.53,62.99,69.37,67.3,0.008300873069173922
BOCN,73.84,73.18,72.81,73.28,0.06296296296296293
BOCNU,67.73,72.5,73.83,71.35,0.06424581005586587
BOCNW,67.73,72.5,73.83,71.35,-0.544
BODI,78.84,63.31,67.37,69.84,-0.4861845018450185
BOF,70.05,72.3,70.55,70.97,0.07033639143730887
BOH,65.84,68.99,64.41,66.41,0.39470943553426363
BOKF,49.29,63.67,56.46,56.48,0.498217351115806
BOLD,50.4,61.09,58.81,56.77,300998.99999999994
BOLT,52.83,65.74,60.28,59.62,-0.35900990099009905
BON,66.54,63.77,68.08,66.13,-0.7033870967741935
BOOM,62.14,67.5,66.51,65.38,-0.34342431761786596
BOOT,51.28,74.12,66.8,64.07,1.1794484569927772
BORR,65.46,75.32,75.96,72.25,-0.26244665718349935
BOSC,48.71,59.3,69.85,59.29,-0.00673400673400674
BOTJ,72.42,65.23,64.22,67.29,0.34077999999999997
BOWL,65.8,62.17,67.21,65.06,0.18440366972477062
BOWN,69.99,63.27,74.25,69.17,0.058708414872798396
BOX,61.92,62.77,72.13,65.61,0.31683569979716036
BOXL,86.16,91.92,66.2,81.43,-0.7539893617021277
BP,69.72,72.94,71.68,71.45,-0.2261343912720059
BPMC,56.43,66.22,64.54,62.4,0.8551215805471124
BPOP,67.8,70.73,73.68,70.74,0.6096129441624365
BPOPM,75.77,71.85,68.55,72.06,0.048551611587107205
BPRN,55.23,76.3,69.24,66.92,0.24371016437437115
BPT,61.4,81.03,74.64,72.36,-0.7962298025134651
BPTH,53.87,65.09,64.16,61.04,-0.8926279527559056
BPYPN,61.63,50.77,56.69,56.36,0.4594571428571428
BPYPO,61.63,50.77,56.69,56.36,0.41786015164279694
BPYPP,22.54,21.64,22.24,22.14,0.4559068219633944
BQ,58.87,62.2,62.35,61.14,-0.8013245033112583
BR,54.04,58.07,74.97,62.36,0.24280841387151794
BRACU,50.0,76.02,75.3,67.11,0.007123775601068572
BRAG,50.0,74.44,75.39,66.61,0.09363227470946824
BRBR,74.26,80.7,62.63,72.53,0.49724644332262513
BRBS,57.77,70.53,74.23,67.51,-0.11858461538461544
BRC,67.56,67.97,65.65,67.06,0.42917686946694283
BRCC,58.46,73.47,67.31,66.41,0.2645185185185185
BRDG,73.55,70.82,69.51,71.29,0.359748427672956
BREA,62.33,69.26,68.87,66.82,0.1354166666666668
BRFH,43.16,66.98,71.42,60.52,0.4130604187230506
BRFS,58.88,70.27,65.26,64.8,1.1200980392156863
BRID,55.53,64.4,55.28,58.4,-0.12764921946740132
BRKH,90.5,74.34,76.58,80.47,0.07670454545454533
BRKHU,90.5,74.34,76.58,80.47,0.07721280602636538
BRKHW,90.5,74.34,76.58,80.47,8.25
BRKL,69.72,64.56,66.16,66.81,0.20322939866369702
BRKR,65.13,58.57,81.22,68.31,0.037552388935456864
BRLS,49.83,64.2,58.57,57.53,-0.48780487804878053
BRLSW,49.83,64.2,58.57,57.53,-0.2800000000000001
BRN,79.63,67.28,69.47,72.13,-0.22484615384615383
BRNS,58.25,73.16,73.57,68.33,-0.5984126984126984
BRO,48.58,61.33,55.13,55.01,0.5577852643913871
BROG,60.03,65.57,63.38,62.99,-0.6019047619047619
BROGW,60.03,65.57,63.38,62.99,-0.8366013071895424
BROS,61.91,54.68,59.4,58.66,0.3681102362204725
BRSP,75.07,70.19,78.32,74.53,-0.05841924398625427
BRTX,84.38,75.05,71.83,77.09,-0.11759358288770064
BRT,77.72,70.0,71.63,73.12,0.01686046511627902
BRLT,72.14,69.81,66.0,69.32,-0.401438127090301
BRX,51.2,49.38,55.26,51.94,0.3870808678500985
BRY,74.22,65.69,67.93,69.28,-0.3847497089639115
BRZE,98.45,60.47,65.27,74.73,-0.3164893617021276
BSAC,53.97,60.17,56.61,56.92,0.16905444126074495
BSBK,81.37,83.22,78.3,80.96,0.08211305518169597
BSBR,57.2,64.26,58.31,59.92,-0.03320683111954456
BSET,66.82,63.1,76.23,68.72,-0.07742782152230969
BSFC,69.63,67.15,70.83,69.2,-0.9416372202591284
BSIG,60.66,77.81,68.68,69.05,0.587367178276269
BSVN,80.32,70.88,65.12,72.11,0.9635627530364371
BSX,76.17,61.21,57.83,65.07,0.7389713155291792
BSRR,60.51,69.9,72.15,67.52,0.5953642741500269
BSY,68.74,71.33,66.63,68.9,-0.026869158878504724
BSM,78.48,71.68,76.03,75.4,-0.1643454038997214
BTAI,59.79,66.69,63.56,63.35,-0.7757915057915057
BTBD,77.37,65.98,76.4,73.25,-0.26086956521739124
BTBDW,77.37,65.98,76.4,73.25,-0.5434285714285714
BTBT,71.42,68.61,71.78,70.6,0.9447236180904524
BTCM,57.62,69.54,76.98,68.05,-0.037414965986394516
BTCS,50.0,81.97,71.91,67.96,0.32222222222222213
BTCT,56.52,62.04,71.84,63.47,-0.5826771653543307
BTDR,50.0,81.49,57.68,63.06,1.3958944281524925
BTE,65.65,70.94,67.4,68.0,-0.37499999999999994
BTG,54.46,72.65,67.36,64.82,0.022911764705882378
BTI,66.25,65.16,69.82,67.08,0.14706862091938716
BTM,58.37,69.64,67.37,65.13,-0.4428413284132841
BTMD,53.97,58.53,58.5,57.0,0.06189555125725344
BTOC,53.38,60.81,55.69,56.63,0.04329004329004333
BTOG,58.26,65.65,63.72,62.54,0.41958041958041953
BTTR,56.25,73.79,69.88,66.64,-0.8234750462107209
BTU,61.34,69.45,67.44,66.08,-0.013178599527930795
BUD,62.57,61.43,64.5,62.83,0.23292042042042035
BUJA,67.61,74.08,72.15,71.28,0.06025267249757056
BUJAR,67.61,74.08,72.15,71.28,-0.25999999999999995
BUJAW,67.61,74.08,72.15,71.28,-0.4690265486725664
BUR,63.59,68.15,66.32,66.02,0.10734237829209901
BURL,60.91,68.2,74.01,67.71,1.1260777648814457
BURU,76.32,68.84,68.85,71.34,-0.9370192307692309
BUSE,89.64,75.92,79.86,81.81,0.3435075012933265
BV,64.9,62.59,66.12,64.54,1.2619372442019097
BVFL,59.68,68.67,63.36,63.9,0.5497017892644134
BVN,42.41,92.63,93.99,76.34,0.6148161328588375
BVS,78.23,69.25,68.15,71.88,3.3403020134228187
BW,62.53,70.56,57.85,63.65,-0.07553956834532373
BWA,69.8,59.07,62.37,63.75,-0.0722907373392811
BWAY,50.0,50.0,65.33,55.11,1.9632352941176467
BWB,82.75,75.28,71.6,76.54,0.6233019853709508
BWFG,74.45,67.11,68.1,69.89,0.2769556025369979
BWBBP,82.75,75.28,71.6,76.54,0.24879227053140104
BWEN,84.16,82.32,77.54,81.34,-0.25876106194690274
BWMN,63.88,68.43,74.3,68.87,-0.20794053662073966
BWMX,60.4,65.9,64.28,63.53,-0.22839506172839502
BWNB,62.53,70.56,57.85,63.65,0.20540540540540544
BWV,57.85,69.77,64.09,63.9,-0.5821290944123314
BWSN,62.53,70.56,57.85,63.65,0.16121951219512193
BWXT,51.9,67.86,57.02,58.93,0.629308110909562
BX,60.26,70.54,55.61,62.13,0.8435045637868818
BXC,47.92,66.04,65.21,59.72,0.5269177126917712
BXMT,79.36,68.86,73.16,73.79,-0.07237163814180932
BXP,75.25,57.0,69.75,67.34,0.6359303391384051
BXSL,75.21,78.77,74.54,76.17,0.14990689013035377
BY,87.15,87.34,87.98,87.49,0.36483007209062807
BYD,81.25,75.61,71.14,76.0,0.09045310148804542
BYFC,48.34,60.38,67.02,58.58,0.09738372093023255
BYND,75.16,72.13,63.5,70.26,-0.14078061911170922
BYNO,50.0,73.57,74.12,65.9,0.052631578947368446
BYNOW,50.0,73.57,74.12,65.9,-0.10903873744619794
BYON,50.0,63.11,50.07,54.39,-0.37235367372353667
BYRN,65.62,59.56,62.62,62.6,2.976485148514852
BYSI,60.78,63.08,62.25,62.04,1.221153846153846
BZ,89.33,88.16,76.62,84.7,-0.01013071895424844
BZFD,54.38,98.75,77.11,76.75,1.0916666666666666
BZFDW,54.38,98.75,77.11,76.75,1.72
BZH,69.91,67.37,71.55,69.61,0.4769707705934457
BZUN,62.52,62.93,63.92,63.12,0.2010869565217392
C,66.42,72.94,62.61,67.32,0.5774687968047927
CAAP,64.9,66.65,65.78,65.78,0.6451469278717721
CAAS,71.31,67.62,65.44,68.12,0.2529761904761905
CABA,53.91,61.87,64.46,60.08,-0.629549413101098
CABO,91.33,85.13,70.95,82.47,-0.42175532850450104
CAC,34.88,66.38,80.88,60.71,0.552342606149341
CACC,50.81,63.01,67.19,60.34,0.12206079143567192
CACI,68.2,61.33,63.35,64.29,0.6050265508085929
CADE,65.1,68.49,64.64,66.08,0.5951923076923076
CADL,53.89,62.32,58.92,58.38,5.610376624819464
CAE,83.55,85.06,75.2,81.27,-0.10490654205607465
CAG,56.01,49.52,71.47,59.0,0.11694290976058935
CAH,60.72,51.06,62.3,58.02,0.20276969501023814
CIEN,89.25,90.78,78.96,86.33,0.5747863247863249
CIFR,39.17,82.04,69.86,63.69,0.9105058365758757
CIFRW,39.17,82.04,69.86,63.69,2.2325581395348837
CIB,64.32,69.47,62.27,65.35,0.27390791027154654
CIG,67.16,64.33,64.41,65.3,0.10000000000000002
CIGI,74.45,83.51,78.55,78.84,0.7237066515065377
CIM,65.71,72.08,68.93,68.91,0.12831241283124128
CINF,39.48,46.25,53.28,46.34,0.39402497027348393
CING,68.02,70.12,68.47,68.87,-0.9596253523688278
CINGW,68.02,70.12,68.47,68.87,-0.035211267605633645
CINT,62.47,65.08,63.1,63.55,0.5388548057259716
CIO,57.14,65.47,66.01,62.87,0.48963730569948194
CION,68.4,78.24,77.09,74.58,0.22070707070707074
CISO,37.55,70.59,72.99,60.38,-0.5705208333333334
CISS,50.0,76.89,80.85,69.25,-0.9707142857142858
CITE,70.47,76.35,74.5,73.77,0.0649953574744662
CITEW,70.47,76.35,74.5,73.77,1.493765586034913
CIVI,57.06,65.53,69.96,64.18,-0.35963465685652674
CIX,40.15,58.69,70.38,56.41,0.7366666666666668
CJJD,55.21,60.17,59.63,58.34,-0.6068965517241379
CIVB,56.91,69.0,68.07,64.66,0.2085509138381201
CKPT,56.61,67.45,60.63,61.56,0.5482233502538071
CKX,70.92,65.32,73.85,70.03,0.058400000000000035
CL,69.01,68.28,66.87,68.05,0.36876622489411137
CLAR,69.78,70.38,70.65,70.27,-0.18726937269372687
CLB,68.5,69.12,65.87,67.83,-0.22977759127150651
CLBK,50.0,75.89,73.85,66.58,0.09811320754716985
CLBR,76.8,73.19,74.61,74.87,0.014880952380952417
CLBT,50.0,96.43,59.85,68.76,1.5965034965034965
CLCO,68.32,74.69,73.39,72.13,-0.14242878560719643
CLDI,56.4,74.33,69.21,66.65,-0.9558928571428572
CLDT,63.46,65.2,70.42,66.36,-0.10675703858185606
CLDX,51.09,69.42,70.28,63.6,0.1726117261172612
CLEU,70.56,66.7,71.71,69.66,-0.9164553314121038
CLF,58.59,66.63,65.82,63.68,-0.047799174690508844
CLGN,58.14,64.56,67.5,63.4,-0.14056224899598396
CLFD,17.89,48.96,42.3,36.38,0.4244120940649495
CLH,48.1,66.23,65.11,59.81,0.616286199949635
CLIR,81.73,76.23,72.16,76.71,-0.09655913978494635
CLLS,59.64,66.91,65.05,63.87,0.48484848484848475
CLMB,65.71,73.29,71.5,70.17,1.4319259426507112
CLMT,69.68,85.52,67.82,74.34,0.2177033492822967
CLNE,64.58,62.84,64.08,63.83,-0.2690355329949239
CLNN,67.95,73.36,69.87,70.39,-0.43928571428571433
CLNNW,67.95,73.36,69.87,70.39,-0.4285714285714286
CLOV,84.04,79.66,67.3,77.0,3.303072180291273
CLPR,63.32,65.74,70.21,66.42,0.3359840954274353
CLPS,61.46,71.44,64.67,65.86,0.4712269272529858
CLPT,67.09,69.42,60.56,65.69,1.8659793814432992
CLRB,56.78,57.09,49.3,54.39,-0.2166920152091255
CLRCW,72.29,73.91,70.91,72.37,-0.37260273972602737
CLRO,46.85,68.57,72.11,62.51,-0.17023084548930745
CLRCR,72.29,73.91,70.91,72.37,-0.2677448337825696
CLS,71.87,68.5,71.17,70.51,1.2264875239923223
CLSD,59.46,71.75,67.2,66.14,0.44375
CLSK,76.42,68.52,67.16,70.7,2.1999999999999997
CLST,66.92,67.72,65.48,66.71,0.0318302387267904
CLVT,66.17,70.43,78.23,71.61,-0.0029761904761904127
CLW,83.05,75.66,66.92,75.21,-0.21085164835164827
CLWT,58.98,58.03,63.29,60.1,0.15789473684210523
CLX,70.72,68.37,72.47,70.52,0.3067182837325592
CM,66.18,69.99,71.81,69.33,0.7153762268266086
CMA,66.71,74.78,66.92,69.47,0.5748373101952278
CMAX,57.17,71.62,70.49,66.43,-0.9702064896755163
CMAXW,57.17,71.62,70.49,66.43,-0.9534402483186756
CMBM,54.08,69.55,62.19,61.94,-0.6957231404958678
CMC,60.5,61.04,61.81,61.12,0.36958101235165897
CMCL,57.32,64.1,65.92,62.45,0.4650266429840144
CMCM,60.24,63.06,66.65,63.32,1.304597701149425
CMCO,66.29,64.16,72.75,67.73,0.04853925745587337
CMCSA,54.11,64.66,68.82,62.53,-0.023450197353145994
CMCT,68.7,73.03,75.26,72.33,-0.8688520408163265
CME,62.63,60.55,63.3,62.16,0.0677657388380347
CMG,40.87,55.65,67.59,54.7,0.5925575101488496
CMLS,57.25,66.64,65.34,63.08,-0.7446393762183235
CMMB,59.08,64.15,64.02,62.42,0.555952380952381
CMND,50.0,73.47,75.62,66.36,-0.6553020134228188
CMP,63.32,64.76,61.94,63.34,-0.5134835611377909
CMPO,68.05,72.13,70.79,70.32,1.4405186385737438
CMPOW,68.05,72.13,70.79,70.32,5.692923076923076
CMPR,63.07,66.8,70.12,66.66,0.27411994784876154
CMI,74.66,64.8,69.81,69.76,0.5169706811005865
CMPS,58.49,61.06,58.13,59.23,0.12239583333333336
CMRE,61.07,82.74,69.89,71.23,0.5834254143646408
CMPX,49.74,72.78,66.67,63.06,-0.011398963730569958
CMRX,56.18,60.76,60.48,59.14,-0.14068627450980398
CMS,68.81,78.3,82.34,76.48,0.3350775555970847
CMSA,73.04,67.34,78.46,72.95,0.18117647058823536
CMSC,73.04,67.34,78.46,72.95,0.14075436982520712
CMSD,73.04,67.34,78.46,72.95,0.14556823368324961
CMT,63.45,68.7,66.66,66.27,-0.3701994091580502
CMTG,72.97,70.76,76.95,73.56,-0.41468978102189785
CMTL,48.59,71.39,75.29,65.09,-0.6002712815715622
CNA,36.93,54.7,47.44,46.36,0.2519841269841269
CNC,56.3,54.43,67.71,59.48,-0.1421323324993049
CNDA,24.47,66.05,72.25,54.26,0.009708737864077634
CNDT,79.91,71.93,70.32,74.05,0.2329192546583851
CNET,64.75,62.03,61.12,62.63,-0.32829787234042546
CNEY,61.86,61.35,61.86,61.69,-0.7456833139759969
CNF,61.59,67.18,62.77,63.85,-0.5046979865771812
CNFR,46.17,49.12,65.44,53.58,-0.16838284317356844
CNFRZ,46.17,49.12,65.44,53.58,-0.03125
CNI,62.03,62.99,76.77,67.26,0.0867910163684812
CNK,58.94,68.84,73.36,67.05,0.8023471278567015
CNL,62.13,68.53,65.14,65.27,0.25314079422382674
CNM,48.42,68.33,63.67,60.14,0.5286898839137647
CNMD,61.39,75.36,69.17,68.64,-0.2900107411385607
CNNE,54.41,59.82,72.01,62.08,0.09971988795518193
CNO,87.21,82.48,76.29,81.99,0.5304311073541843
CNOB,71.64,72.28,67.01,70.31,0.5245098039215685
CNOBP,71.64,72.28,67.01,70.31,0.32326283987915394
CNP,59.05,63.18,73.07,65.1,0.09810702584637788
CNQ,48.6,57.7,56.3,54.2,0.05806257521058964
CNS,55.61,66.21,74.98,65.6,0.9967924528301887
CNSL,82.05,79.47,79.59,80.37,0.12652068126520669
CNSP,60.55,67.51,70.96,66.34,-0.9987747474747474
CNTA,60.56,63.12,61.76,61.81,1.3338257016248156
CNTB,60.69,63.81,62.56,62.35,0.05084745762711869
CNTX,49.0,76.29,70.89,65.39,0.5793650793650793
CNTY,66.32,67.29,69.72,67.78,-0.3982683982683983
CNX,77.58,77.06,68.35,74.33,0.5253137170056253
CNXC,44.38,69.05,75.36,62.93,-0.3719280466176843
CNXN,54.89,72.89,67.33,65.04,0.39346405228758186
COCH,66.61,67.99,68.87,67.82,0.584774089442139
COCHW,66.61,67.99,68.87,67.82,0.3684210526315789
COCO,60.93,73.37,60.39,64.9,0.16942649434571877
COCP,39.92,65.16,61.81,55.63,0.22023809523809518
CODA,60.57,72.4,60.38,64.45,0.31627906976744186
CODI,80.03,77.67,69.95,75.88,0.22894290559638195
CODX,57.49,69.1,63.18,63.26,0.16363636363636358
COE,60.33,59.36,58.27,59.32,0.8405063291139239
COEP,64.76,73.92,72.12,70.27,-0.8321008403361345
COEPW,64.76,73.92,72.12,70.27,-0.20400000000000001
COF,53.92,63.57,54.6,57.36,0.7119201725997841
COFS,90.47,77.86,99.66,89.33,0.8995823389021478
COGT,34.39,66.87,70.74,57.33,0.2992213570634037
COHN,70.85,73.78,70.61,71.75,0.3101517450682854
COHR,60.81,65.69,64.04,63.51,2.066468378209142
COHU,70.43,70.57,59.85,66.95,-0.23830801310694072
COIN,63.2,61.08,54.66,59.65,1.9439261285909715
COKE,57.18,64.52,65.99,62.56,1.0315421867757766
COLB,65.69,85.28,77.77,76.25,0.38418932527693855
COLD,56.81,61.36,61.94,60.04,-0.014401772525849225
COLL,47.08,61.17,61.54,56.6,0.8253893345917884
COLM,61.04,93.99,79.19,78.07,0.14491165593754277
COMM,56.5,59.85,70.01,62.12,1.5627467811158795
COMP,99.62,80.22,64.44,81.43,1.73933014354067
CON,67.71,69.32,58.6,65.21,-0.058718861209964425
COO,43.8,52.5,61.22,52.5,0.33434218653489806
COOK,82.76,76.24,73.01,77.34,0.18789090909090914
COOP,84.97,68.85,71.15,74.99,0.7829413960432998
COP,49.68,72.59,64.68,62.32,-0.16980534894761826
CORZ,81.52,69.34,74.77,75.21,2.742732558139535
CORZW,81.52,69.34,74.77,75.21,5.23325
COSM,72.9,71.42,63.14,69.15,-0.26819819819819823
COST,50.13,53.31,60.1,54.51,0.572240510581122
COTY,53.9,55.25,58.41,55.85,-0.20093457943925236
COYA,49.81,65.34,70.98,62.04,0.5984405458089668
CP,53.17,51.82,74.51,59.83,0.13510450273530636
CPA,49.13,69.57,68.75,62.48,0.2511298254241456
CPAC,62.99,62.38,37.6,54.32,0.16767676767676767
CPAY,73.0,75.73,86.06,78.26,0.4544365003926107
CPB,70.06,71.48,79.16,73.57,0.21933132227249877
COR,91.89,78.54,62.34,77.59,0.2422981726262574
CORT,21.94,62.57,51.98,45.5,0.7264285714285715
CPF,59.96,69.4,71.02,66.79,0.854465958775765
COUR,69.09,64.96,51.34,61.8,-0.5840732519422863
CPHC,70.47,74.25,68.95,71.22,-0.024060150375939872
CPHI,57.04,70.08,62.05,63.06,-0.6171073094867807
CPIX,60.07,63.59,69.02,64.23,-0.36633663366336633
CPK,79.7,67.87,75.05,74.21,0.33891992551210426
CPNG,71.06,69.88,62.84,67.93,0.42849067269643853
CPOP,60.81,58.68,61.53,60.34,-0.6401179941002949
CPRI,40.53,56.37,57.63,51.51,-0.17193598750975803
CPRT,39.92,47.89,65.19,51.0,0.21272276110985788
CPRX,64.6,67.31,70.13,67.35,0.6532818532818534
CPS,82.29,79.39,59.93,73.87,0.2078947368421052
CPSH,53.29,66.97,73.43,64.56,-0.45576923076923076
CPSS,82.8,66.58,68.41,72.6,0.08491620111731862
CPT,47.63,44.83,55.87,49.44,0.28280518928115694
CPTN,58.03,64.96,64.63,62.54,-0.12011173184357546
CPTNW,58.03,64.96,64.63,62.54,-0.4599376134829369
CQP,78.11,72.2,62.04,70.78,-0.1184706310238226
CR,67.4,62.16,74.56,68.04,0.9125000000000001
CRAI,73.59,75.94,68.96,72.83,1.0170012290045063
